SST(°C) mean stdv
1.050000 0.133756 0.084700
1.060000 0.134090 0.084710
1.070000 0.134425 0.084721
1.080000 0.134759 0.084731
1.090000 0.135094 0.084741
1.100000 0.135428 0.084752
1.110000 0.135763 0.084762
1.120000 0.136098 0.084773
1.130000 0.136433 0.084783
1.140000 0.136768 0.084794
1.150000 0.137103 0.084805
1.160000 0.137438 0.084815
1.170000 0.137773 0.084826
1.180000 0.138108 0.084837
1.190000 0.138443 0.084848
1.200000 0.138779 0.084858
1.210000 0.139114 0.084869
1.220000 0.139450 0.084880
1.230000 0.139786 0.084891
1.240000 0.140121 0.084902
1.250000 0.140457 0.084913
1.260000 0.140793 0.084925
1.270000 0.141129 0.084936
1.280000 0.141465 0.084947
1.290000 0.141801 0.084958
1.300000 0.142138 0.084970
1.310000 0.142474 0.084981
1.320000 0.142810 0.084993
1.330000 0.143147 0.085004
1.340000 0.143483 0.085016
1.350000 0.143820 0.085027
1.360000 0.144156 0.085039
1.370000 0.144493 0.085051
1.380000 0.144830 0.085062
1.390000 0.145167 0.085074
1.400000 0.145504 0.085086
1.410000 0.145841 0.085098
1.420000 0.146178 0.085110
1.430000 0.146515 0.085122
1.440000 0.146852 0.085134
1.450000 0.147190 0.085146
1.460000 0.147527 0.085159
1.470000 0.147864 0.085171
1.480000 0.148202 0.085183
1.490000 0.148539 0.085196
1.500000 0.148877 0.085208
1.510000 0.149215 0.085221
1.520000 0.149553 0.085233
1.530000 0.149890 0.085246
1.540000 0.150228 0.085259
1.550000 0.150566 0.085271
1.560000 0.150904 0.085284
1.570000 0.151243 0.085297
1.580000 0.151581 0.085310
1.590000 0.151919 0.085323
1.600000 0.152257 0.085336
1.610000 0.152596 0.085350
1.620000 0.152934 0.085363
1.630000 0.153272 0.085376
1.640000 0.153611 0.085390
1.650000 0.153950 0.085403
1.660000 0.154288 0.085417
1.670000 0.154627 0.085430
1.680000 0.154966 0.085444
1.690000 0.155305 0.085458
1.700000 0.155644 0.085472
1.710000 0.155983 0.085486
1.720000 0.156322 0.085500
1.730000 0.156661 0.085514
1.740000 0.157000 0.085528
1.750000 0.157339 0.085543
1.760000 0.157678 0.085557
1.770000 0.158017 0.085571
1.780000 0.158357 0.085586
1.790000 0.158696 0.085601
1.800000 0.159036 0.085615
1.810000 0.159375 0.085630
1.820000 0.159715 0.085645
1.830000 0.160054 0.085660
1.840000 0.160394 0.085675
1.850000 0.160734 0.085690
1.860000 0.161074 0.085706
1.870000 0.161413 0.085721
1.880000 0.161753 0.085737
1.890000 0.162093 0.085752
1.900000 0.162433 0.085768
1.910000 0.162773 0.085784
1.920000 0.163113 0.085800
1.930000 0.163453 0.085816
1.940000 0.163794 0.085832
1.950000 0.164134 0.085848
1.960000 0.164474 0.085864
1.970000 0.164814 0.085881
1.980000 0.165155 0.085897
1.990000 0.165495 0.085914
2.000000 0.165836 0.085931
2.010000 0.166176 0.085948
2.020000 0.166517 0.085965
2.030000 0.166857 0.085982
2.040000 0.167198 0.085999
2.050000 0.167538 0.086016
2.060000 0.167879 0.086034
2.070000 0.168220 0.086051
2.080000 0.168561 0.086069
2.090000 0.168901 0.086087
2.100000 0.169242 0.086105
2.110000 0.169583 0.086123
2.120000 0.169924 0.086142
2.130000 0.170265 0.086160
2.140000 0.170606 0.086178
2.150000 0.170947 0.086197
2.160000 0.171288 0.086216
2.170000 0.171629 0.086235
2.180000 0.171971 0.086254
2.190000 0.172312 0.086273
2.200000 0.172653 0.086293
2.210000 0.172994 0.086312
2.220000 0.173336 0.086332
2.230000 0.173677 0.086352
2.240000 0.174018 0.086372
2.250000 0.174360 0.086392
2.260000 0.174701 0.086412
2.270000 0.175042 0.086433
2.280000 0.175384 0.086453
2.290000 0.175725 0.086474
2.300000 0.176067 0.086495
2.310000 0.176409 0.086516
2.320000 0.176750 0.086538
2.330000 0.177092 0.086559
2.340000 0.177434 0.086581
2.350000 0.177775 0.086603
2.360000 0.178117 0.086625
2.370000 0.178459 0.086647
2.380000 0.178800 0.086669
2.390000 0.179142 0.086692
2.400000 0.179484 0.086714
2.410000 0.179826 0.086737
2.420000 0.180168 0.086760
2.430000 0.180510 0.086784
2.440000 0.180852 0.086807
2.450000 0.181194 0.086801
2.460000 0.181536 0.086781
2.470000 0.181877 0.086782
2.480000 0.182219 0.086806
2.490000 0.182562 0.086830
2.500000 0.182904 0.086854
2.510000 0.183246 0.086878
2.520000 0.183588 0.086903
2.530000 0.183930 0.086927
2.540000 0.184272 0.086952
2.550000 0.184614 0.086977
2.560000 0.184956 0.087003
2.570000 0.185298 0.087028
2.580000 0.185641 0.087054
2.590000 0.185983 0.087080
2.600000 0.186325 0.087106
2.610000 0.186667 0.087132
2.620000 0.187009 0.087159
2.630000 0.187352 0.087185
2.640000 0.187694 0.087212
2.650000 0.188036 0.087239
2.660000 0.188379 0.087267
2.670000 0.188721 0.087295
2.680000 0.189063 0.087295
2.690000 0.189406 0.087273
2.700000 0.189748 0.087249
2.710000 0.190090 0.087226
2.720000 0.190433 0.087204
2.730000 0.190775 0.087232
2.740000 0.191117 0.087259
2.750000 0.191460 0.087243
2.760000 0.191802 0.087218
2.770000 0.192144 0.087193
2.780000 0.192487 0.087167
2.790000 0.192829 0.087141
2.800000 0.193172 0.087115
2.810000 0.193514 0.087089
2.820000 0.193857 0.087062
2.830000 0.194199 0.087035
2.840000 0.194541 0.087028
2.850000 0.194884 0.087054
2.860000 0.195226 0.087081
2.870000 0.195569 0.087108
2.880000 0.195911 0.087135
2.890000 0.196254 0.087162
2.900000 0.196596 0.087190
2.910000 0.196938 0.087217
2.920000 0.197281 0.087245
2.930000 0.197623 0.087273
2.940000 0.197966 0.087302
2.950000 0.198308 0.087330
2.960000 0.198651 0.087359
2.970000 0.198993 0.087387
2.980000 0.199335 0.087411
2.990000 0.199678 0.087381
3.000000 0.200020 0.087351
3.010000 0.200363 0.087320
3.020000 0.200705 0.087290
3.030000 0.201047 0.087259
3.040000 0.201390 0.087279
3.050000 0.201732 0.087307
3.060000 0.202074 0.087335
3.070000 0.202417 0.087364
3.080000 0.202759 0.087393
3.090000 0.203102 0.087410
3.100000 0.203444 0.087377
